Year,Month,Day,Hour,Minute,Second,Spacecraft,ShockType,MagneticFieldRatio,SpeedJump(km/s),ProtonDensityRatio,ProtonTemperatureRatio,AlfvenSpeedUpstream(km/s),MagnetosonicSpeedUpstream(km/s),PlasmaBetaUpstream,ShockNormalX,ShockNormalY,ShockNormalZ,ShockTheta(degrees),ShockSpeed(km/s),MagnetosonicMachNumber
2014,2,22,8,0,3, STEREO-A,FF,2.07,65.63,3.09,2,52.02,65.7,1.2,0.96,-0.19,-0.19,61.88,450.77,1.54
2014,2,20,2,42,0,     Wind,FF,2.86,194.54,2.01,4.17,34.32,53.79,3.05,-0.87,-0.47,0.19,87.47,821.1,6.77
2014,2,19,3,9,39,     Wind,FF,1.82,90.93,1.69,1.51,118.09,124.08,0.21,-0.93,0.03,-0.36,84.45,596.94,1.92
2014,2,18,6,6,21,     Wind,FF,1.39,37.85,1.81,2.33,60.76,72.26,0.83,-0.77,0.63,-0.03,64.9,373.79,1.48
2014,2,17,5,34,48,     Wind,FR,1.72,24.53,1.67,1.91,61.75,72.1,0.73,0.44,0.12,-0.89,71.43,43.68,2.08
2014,2,16,7,50,13, STEREO-A,FF,1.69,142.64,3.01,2.03,139.11,151.03,0.37,0.83,-0.4,0.39,44.37,548.86,1.4
2014,2,15,12,46,36,     Wind,FF,2.23,70.64,2.25,2.83,56.32,70.14,1.1,-0.86,0.42,-0.31,87.55,468.72,1.98
2014,2,13,12,47,40, STEREO-B,FF,1.4,74.5,1.84,1.75,118.92,126.48,0.26,0.87,-0.36,0.35,37.2,598.08,1.12
2014,2,13,8,55,30,     Wind,FF,1.66,35.99,1.71,1.75,63.13,72.6,0.65,-0.97,-0.23,-0.04,78.71,441.28,1.22
2014,2,12,12,15,50, STEREO-B,FF,1.99,67.25,2.94,3.31,71.86,81.07,0.55,0.89,0.24,0.38,28.76,398.27,1.12
2014,2,8,10,39,27, STEREO-B,FF,1.8,37.53,2.24,2.08,64.58,74.76,0.68,0.91,0.4,0.1,50.42,326.54,0.8
2014,2,7,20,59,3, STEREO-A,FF,1.83,58,2.42,1.98,86.24,95.81,0.48,0.85,-0.52,-0.03,68.46,411.69,1.06
2014,2,7,16,16,3,     Wind,FF,2.63,86.34,2.29,2.43,50.7,62.57,1.05,-0.94,-0.33,-0.11,77.8,472.22,2.61
2014,2,5,3,27,37, STEREO-A,FF,2.01,58.5,2.33,2.26,44.13,60.14,1.72,0.97,0.26,0,83.78,475.55,1.8
2014,2,2,0,18,17, STEREO-A,FF,1.61,33.38,1.75,1.27,47.74,63.49,1.54,0.96,0.22,-0.16,89.93,427.65,1.21
2014,2,1,15,58,36, STEREO-B,FF,1.29,25.88,1.91,2.06,46.75,61.36,1.47,0.61,-0.68,-0.42,85.33,316.31,1.63
2014,2,1,6,19,25, STEREO-A,FF,1.63,27.5,1.75,1.86,57.28,69.74,0.98,0.86,0.12,0.49,62.96,381.22,1.12
2014,1,29,18,13,26, STEREO-A,FF,1.99,44.38,2.15,1.81,56.79,70.46,1.08,0.63,-0.26,0.74,61.03,374.85,1.75
2014,1,29,5,19,52, STEREO-B,FF,1.89,75.38,2.27,2.17,74.36,87.83,0.8,0.83,-0.36,0.43,45.97,596.8,1.27
2014,1,26,11,42,19, STEREO-B,FR,1.51,27.75,1.88,1.22,67.15,85.31,1.23,-0.52,0.24,0.82,47.88,267.47,1.11
2014,1,24,7,13,25, STEREO-B,FF,2.5,83.25,6.62,7.65,24.6,44.62,4.7,0.77,0.37,-0.52,21.9,310.13,1.68
2014,1,22,15,14,31, STEREO-A,FF,1.31,35,2.66,1.74,117.25,127.26,0.36,0.82,0.57,-0.06,80.26,540.59,0.49
2014,1,20,19,21,50, STEREO-A,FF,1.86,42.75,1.41,1.45,77.51,86.34,0.48,0.71,-0.49,0.51,62.56,401.3,2.22
2014,1,14,7,39,9,     Wind,FR,1.47,41.35,1.35,1.2,75.75,91.04,0.9,0.67,0.74,-0.12,70.29,309.15,1.4
2014,1,9,19,40,6,     Wind,FF,1.88,79.85,2.1,4.88,63.91,76.38,0.86,-0.69,-0.44,0.58,17.96,445.89,2.57
2014,1,9,13,17,41, STEREO-A,FF,1.54,79,2.43,1.93,92.65,101.52,0.41,0.88,-0.31,-0.35,81.28,534.29,1.23
2014,1,7,14,34,54,     Wind,FF,2.2,58.29,1.97,1.66,29.27,50.68,4.06,-0.78,-0.39,0.49,69.92,426.77,2.85
2013,12,30,21,58,0, STEREO-B,FF,1.41,42.13,3.3,1.05,40.17,57.52,2.11,0.98,0.16,0.14,45.91,511.19,1.03
2013,12,30,17,39,56, STEREO-B,FR,1.37,47.25,3.79,1.23,32,53.31,3.6,-0.46,-0.82,-0.33,83.47,132.28,1.89
2013,12,29,7,15,51, STEREO-A,FF,1.72,29.5,1.86,1.59,55.57,66.81,0.89,0.85,0.46,-0.27,64.63,398.74,1.17
2013,12,29,3,39,10, STEREO-A,FF,1.43,21.5,1.8,1.97,50.12,61.93,1.06,0.99,-0.12,-0.1,40.37,396.08,0.83
2013,12,28,17,6,42, STEREO-B,FF,6.15,125.5,4.21,5.77,8.52,40.48,50.5,0.58,0.44,0.68,82.86,304.99,2.37
2013,12,26,5,4,11, STEREO-A,FR,1.72,24,1.32,1.07,51.75,67.95,1.45,-0.94,-0.28,0.22,81.19,333.39,1.49
2013,12,24,22,18,37, STEREO-A,FF,1.23,23.5,2.05,1.61,87.82,95.69,0.4,0.91,0.39,-0.15,88.67,376.19,0.46
2013,12,22,0,9,44, STEREO-B,FF,2.23,72.63,2.01,2.99,65.19,76.15,0.74,0.95,-0.23,-0.22,47.23,437.72,1.89
2013,12,17,16,7,44, STEREO-A,FR,1.8,50.5,2.13,1.43,81.94,96.73,0.79,-0.67,-0.68,-0.28,43.23,346.65,1.61
2013,12,17,13,29,41, STEREO-B,FF,1.96,53.5,2.8,1.42,42.78,60.59,2.03,1,-0.09,0.04,44.81,459.16,1.37
